MONTH,RESTAURANT_ID,IS_VEG,BRAND_NAME,CITY,AREA,ITEM_ID,ITEM_NAME,ITEM_CATEGORY,VARIANT_NAME,PRICE_PER_ITEM,ITEM_QUANTITY,ITEM_SUBTOTAL
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,59614568,Veg Kolhapuri Combo,"Swiggy Exclusive Combos""""",,258.8888889,18,4660
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105359,Dal Dhokli,"Flavours of Rajasthan""""",,249.5833333,24,5990
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105287,Churma,"Starters""""",,180,4,720
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105348,Kaju Paneer,"Main Course""""",,260,8,2080
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105266,Aloo Raita,"Accompaniments""""",,85,8,680
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105208,Special Khobewali Roti,"Flavours of Rajasthan""""",,80,119,9520
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105396,Mushroom Masala,"Main Course""""",,260,1,260
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105206,B.Cheese Garlic Naan,"Indian Breads""""",,130,40,5200
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105260,Roasted B.Khichiya,"Accompaniments""""",,45.78431373,204,9340
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105278,Schezwan Noodles,"Chinese""""",,243.3333333,24,5840
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105235,Laccha Paratha,"Indian Breads""""",,65,6,390
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105383,Plain Makka Roti,"Indian Breads""""",,45,8,360
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105301,Sabji Jalfrezi,"Main Course""""",,230,4,920
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105200,B.Cheese Naan,"Indian Breads""""",,120,15,1800
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105289,Cheese B.Masala,"Main Course""""",,263.5849057,53,13970
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105229,G.Phulka 5Pcs,"Indian Breads""""",,85,850,72250
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105370,Veg Pulao,"Rice & Biryani""""",,177,10,1770
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105362,Veg Dum Biryani,"Rice & Biryani""""",,202.9192547,161,32670
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105353,Dal Tadka,"Main Course""""",,217.1069182,159,34520
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105376,Curd Rice,"Rice & Biryani""""",,174.8,25,4370
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,98440181,Sarson Ka Saag Combo,"Swiggy Exclusive Combos""""",,260,28,7280
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105342,Paneer Makhanwala,"Main Course""""",,260,8,2080
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105295,Veg Kadai,"Main Course""""",,246.7948718,39,9625
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105321,Kaju Mutter,"Main Course""""",,265,4,1060
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,106110121,G.Mix Paratha,"Indian Breads""""",,120,14,1680
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105388,G.Bajra Roti,"Indian Breads""""",,50,45,2250
12,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105280,Hakka Noodles,"Chinese""""",,223.8095238,21,4700
